Ploeg;Renner;Waarde
AG2R-Citroën;O'CONNOR B;7
AG2R-Citroën;COSNEFROY B;6
AG2R-Citroën;BOUCHARD G;4
AG2R-Citroën;JUNGELS B;4
AG2R-Citroën;NAESEN O;4
AG2R-Citroën;CHEREL M;3
AG2R-Citroën;DEWULF S;3
AG2R-Citroën;PARET-PEINTRE A;3
Alpecin-Deceuninck;VAN DER POEL M;10
Alpecin-Deceuninck;PHILIPSEN J;8
Alpecin-Deceuninck;DILLIER S;4
Alpecin-Deceuninck;GOGL M;4
Alpecin-Deceuninck;KRIEGER A;3
Alpecin-Deceuninck;PLANCKAERT E;3
Alpecin-Deceuninck;SBARAGLI K;3
Alpecin-Deceuninck;VAN KEIRSBULCK G;3
Arkéa-Samsic;BARGUIL W;6
Arkéa-Samsic;HOFSTETTER H;6
Arkéa-Samsic;QUINTANA N;6
Arkéa-Samsic;CAPIOT A;4
Arkéa-Samsic;LOUVEL M;4
Arkéa-Samsic;SWIFT C;4
Arkéa-Samsic;BOUET M;3
Arkéa-Samsic;OWSIAN L;3
Astana;LUTSENKO A;6
Astana;MOSCON G;5
Astana;BATTISTELLA S;4
Astana;DOMBROWSKI J;4
Astana;FELLINE F;3
Astana;GRUZDEV D;3
Astana;VELASCO S;3
Astana;ZEITS A;3
B&BHotels;BONNAMOUR F;5
B&BHotels;MOZZATO L;5
B&BHotels;LECROQ J;4
B&BHotels;ROLLAND P;4
B&BHotels;BARTHE C;3
B&BHotels;GOUGEARD A;3
B&BHotels;LEMOINE C;3
B&BHotels;SCHONBERGER S;3
Bahrain-Victorious;CARUSO D;7
Bahrain-Victorious;HAIG J;7
Bahrain-Victorious;MOHORI? M;6
Bahrain-Victorious;TEUNS D;6
Bahrain-Victorious;TRATNIK J;5
Bahrain-Victorious;SANCHEZ L;4
Bahrain-Victorious;WRIGHT F;4
Bahrain-Victorious;GRADEK K;3
BikeExchange-Jayco;GROENEWEGEN D;7
BikeExchange-Jayco;MATTHEWS M;7
BikeExchange-Jayco;MEZGEC L;5
BikeExchange-Jayco;SCHULTZ N;4
BikeExchange-Jayco;BAUER J;3
BikeExchange-Jayco;DURBRIDGE L;3
BikeExchange-Jayco;JANSEN A;3
BikeExchange-Jayco;JUUL-JENSEN C;3
Bora-Hansgrohe;VLASOV A;8
Bora-Hansgrohe;KAMNA L;6
Bora-Hansgrohe;SCHACHMANN M;6
Bora-Hansgrohe;KONRAD P;5
Bora-Hansgrohe;POLITT N;5
Bora-Hansgrohe;VAN POPPEL D;5
Bora-Hansgrohe;GROSSSCHARTNER F;4
Bora-Hansgrohe;HALLER M;4
Cofidis;COQUARD B;6
Cofidis;MARTIN G;6
Cofidis;IZAGIRRE I;5
Cofidis;WALSCHEID M;5
Cofidis;GESCHKE S;4
Cofidis;LAFAY V;4
Cofidis;THOMAS B;4
Cofidis;PEREZ A;3
DSM;BARDET R;7
DSM;DAINESE A;6
DSM;DEGENKOLB J;4
DSM;EEKHOFF N;4
DSM;HAMILTON C;4
DSM;LEKNESSUND A;4
DSM;TUSVELD M;3
DSM;VERMAERKE K;3
EFEducation-EasyPost;CORT M;6
EFEducation-EasyPost;URAN R;6
EFEducation-EasyPost;BETTIOL A;5
EFEducation-EasyPost;BISSEGGER S;5
EFEducation-EasyPost;GUERREIRO R;5
EFEducation-EasyPost;POWLESS N;5
EFEducation-EasyPost;DOULL O;3
EFEducation-EasyPost;RUTSCH J;3
Groupama-FDJ;GAUDU D;6
